idade,renda,propriedadeCasa,tempoEmpregado,intensaoInvestimento,grauInvestimento,valorInvestimento,taxaJuros,situacaoInvestimento,retornoInvestimento,jaInvesteOunao,tempoInvestimento
22,59000,ALUGUEL,123.0,PESSOAL,D,35000,16.02,1,0.59,Y,3
21,9600,PRÓPRIO,5.0,EDUCAÇÃO,B,1000,11.14,0,0.1,N,2
25,9600,HIPOTECA,1.0,MÉDICO,C,5500,12.87,1,0.57,N,3
23,65500,ALUGUEL,4.0,MÉDICO,C,35000,15.23,1,0.53,N,2
24,54400,ALUGUEL,8.0,MÉDICO,C,35000,14.27,1,0.55,Y,4
21,9900,PRÓPRIO,2.0,RISCO,A,2500,7.14,1,0.25,N,2
26,77100,ALUGUEL,8.0,EDUCAÇÃO,B,35000,12.42,1,0.45,N,3
24,78956,ALUGUEL,5.0,MÉDICO,B,35000,11.11,1,0.44,N,4
24,83000,ALUGUEL,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2
21,10000,PRÓPRIO,6.0,RISCO,D,1600,14.74,1,0.16,N,3
22,85000,ALUGUEL,6.0,RISCO,B,35000,10.37,1,0.41,N,4
21,10000,PRÓPRIO,2.0,MELHORIA DE CASA,A,4500,8.63,1,0.45,N,2
23,95000,ALUGUEL,2.0,RISCO,A,35000,7.9,1,0.37,N,2
26,108160,ALUGUEL,4.0,EDUCAÇÃO,E,35000,18.39,1,0.32,N,4
23,115000,ALUGUEL,2.0,EDUCAÇÃO,A,35000,7.9,0,0.3,N,4
23,500000,HIPOTECA,7.0,CONSOLIDAÇÃO DE DÍVIDAS,B,30000,10.65,0,0.06,N,3
23,120000,ALUGUEL,0.0,EDUCAÇÃO,A,35000,7.9,0,0.29,N,4
23,92111,ALUGUEL,7.0,MÉDICO,F,35000,20.25,1,0.32,N,4
23,113000,ALUGUEL,8.0,CONSOLIDAÇÃO DE DÍVIDAS,D,35000,18.25,1,0.31,N,4
24,10800,HIPOTECA,8.0,EDUCAÇÃO,B,1750,10.99,1,0.16,N,2
25,162500,ALUGUEL,2.0,RISCO,A,35000,7.49,0,0.22,N,4
25,137000,ALUGUEL,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2
22,65000,ALUGUEL,4.0,EDUCAÇÃO,D,34000,17.58,1,0.52,N,4
24,10980,PRÓPRIO,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3
22,80000,ALUGUEL,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4
24,67746,ALUGUEL,8.0,MELHORIA DE CASA,C,33000,12.68,1,0.49,N,3
21,11000,HIPOTECA,3.0,RISCO,E,4575,17.74,1,0.42,Y,3
23,11000,PRÓPRIO,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3
24,65000,ALUGUEL,6.0,MELHORIA DE CASA,B,32500,9.99,1,0.5,N,3
21,11389,OUTROS,5.0,EDUCAÇÃO,C,4000,12.84,1,0.35,Y,2
21,11520,PRÓPRIO,5.0,MÉDICO,B,2000,11.12,1,0.17,N,3
25,120000,ALUGUEL,2.0,RISCO,A,32000,6.62,0,0.27,N,2
26,95000,ALUGUEL,7.0,MELHORIA DE CASA,C,31050,14.17,1,0.33,Y,3
25,306000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,C,24250,13.85,0,0.08,N,3
26,300000,HIPOTECA,10.0,MÉDICO,C,7800,13.49,0,0.03,N,4
21,12000,PRÓPRIO,5.0,EDUCAÇÃO,A,2500,7.51,1,0.21,N,4
22,48000,ALUGUEL,1.0,EDUCAÇÃO,E,30000,18.39,1,0.63,N,2
24,64000,ALUGUEL,8.0,CONSOLIDAÇÃO DE DÍVIDAS,D,30000,14.54,1,0.47,Y,3
25,75000,ALUGUEL,4.0,MELHORIA DE CASA,D,30000,16.89,1,0.4,Y,4
23,71500,ALUGUEL,3.0,CONSOLIDAÇÃO DE DÍVIDAS,D,30000,,1,0.42,N,4
26,62050,ALUGUEL,6.0,MÉDICO,E,30000,17.99,1,0.41,N,2
24,12000,PRÓPRIO,4.0,RISCO,B,2500,12.69,1,0.21,N,3
26,300000,HIPOTECA,10.0,RISCO,A,20000,7.88,0,0.07,N,4
23,300000,PRÓPRIO,1.0,EDUCAÇÃO,F,24250,19.41,0,0.08,Y,2
26,300000,PRÓPRIO,9.0,MELHORIA DE CASA,B,10000,10.38,0,0.03,N,4
26,300000,HIPOTECA,0.0,EDUCAÇÃO,D,25000,15.33,0,0.08,N,3
25,300000,HIPOTECA,9.0,MELHORIA DE CASA,E,18000,16.45,0,0.06,N,3
26,80690,ALUGUEL,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3
22,66300,ALUGUEL,4.0,MÉDICO,B,30000,12.69,1,0.38,N,3
26,89028,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,A,30000,6.62,1,0.34,N,3
24,78000,ALUGUEL,4.0,CONSOLIDAÇÃO DE DÍVIDAS,D,30000,,1,0.38,Y,4
23,78000,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,F,30000,18.62,1,0.38,Y,3
23,92004,ALUGUEL,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3
23,97000,ALUGUEL,7.0,RISCO,B,30000,10.65,1,0.31,N,2
25,120000,ALUGUEL,9.0,EDUCAÇÃO,A,30000,7.9,0,0.25,N,4
26,280000,ALUGUEL,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3
26,277104,ALUGUEL,0.0,RISCO,B,20000,11.48,0,0.07,N,3
23,277000,PRÓPRIO,3.0,PERSONAL,A,35000,,0,0.13,N,4
25,128000,ALUGUEL,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4
24,12000,PRÓPRIO,2.0,RISCO,E,1750,,0,0.15,Y,3
21,131000,ALUGUEL,0.0,RISCO,A,30000,5.99,0,0.23,N,4
22,275000,PRÓPRIO,6.0,RISCO,B,12000,11.58,0,0.04,N,2
26,263000,HIPOTECA,0.0,EDUCAÇÃO,B,10000,,1,0.04,N,4
25,221850,HIPOTECA,9.0,MÉDICO,D,25000,15.7,1,0.1,N,2
22,70000,ALUGUEL,6.0,EDUCAÇÃO,D,29100,15.99,1,0.42,N,3
22,12000,HIPOTECA,7.0,EDUCAÇÃO,D,1500,14.84,0,0.13,Y,3
26,260000,PRÓPRIO,10.0,MELHORIA DE CASA,B,28000,10.99,0,0.11,N,3
25,259000,HIPOTECA,9.0,MELHORIA DE CASA,D,20000,14.42,0,0.08,Y,2
24,255000,HIPOTECA,9.0,EDUCAÇÃO,A,9600,6.99,0,0.04,N,2
25,250000,ALUGUEL,2.0,MÉDICO,C,25000,13.49,0,0.1,N,4
25,12000,PRÓPRIO,0.0,MÉDICO,C,3000,,1,0.25,N,3
22,56950,ALUGUEL,6.0,MÉDICO,A,28000,,1,0.49,N,2
21,12000,PRÓPRIO,6.0,EDUCAÇÃO,C,3000,13.61,1,0.25,Y,3
23,65000,ALUGUEL,2.0,EDUCAÇÃO,A,28000,7.9,1,0.43,N,2
26,85000,ALUGUEL,2.0,RISCO,A,28000,7.49,1,0.33,N,3
26,12000,PRÓPRIO,2.0,EDUCAÇÃO,A,6100,7.51,1,0.51,N,3
22,88000,ALUGUEL,6.0,RISCO,B,28000,9.91,1,0.32,N,3
21,12000,PRÓPRIO,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4
22,12000,PRÓPRIO,6.0,CONSOLIDAÇÃO DE DÍVIDAS,A,4750,7.14,1,0.4,N,2
24,83004,ALUGUEL,0.0,RISCO,D,28000,15.99,1,0.34,Y,4
24,250000,ALUGUEL,2.0,EDUCAÇÃO,C,18000,12.98,0,0.07,Y,3
144,250000,ALUGUEL,4.0,RISCO,C,4800,13.57,0,0.02,N,3
